"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [399]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [399]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [399]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [399]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,172.3 uA,2.639 mV,5.773 uA
20.00 psec,354.8 uA,6.675 mV,11.89 uA
50.00 psec,867.9 uA,34.87 mV,29.32 uA
92.63 psec,1.721 mA,121.4 mV,60.34 uA
175.0 psec,4.413 mA,548.9 mV,177.6 uA
245.7 psec,11.03 mA,1.278  V,2.659 mA
249.3 psec,11.59 mA,1.323  V,3.012 mA
256.7 psec,12.83 mA,1.418  V,3.563 mA
278.6 psec,16.50 mA,1.759  V,4.535 mA
312.1 psec,21.51 mA,2.481  V,5.943 mA
367.7 psec,28.04 mA,4.243  V,7.630 mA
462.6 psec,33.20 mA,8.738  V,9.033 mA
579.1 psec,28.70 mA,15.40  V,8.315 mA
718.7 psec,16.42 mA,21.52  V,6.913 mA
871.9 psec,8.450 mA,24.19  V,6.716 mA
1.000 nsec,8.108 mA,24.59  V,7.711 mA
1.019 nsec,7.992 mA,24.60  V,7.785 mA
1.077 nsec,8.151 mA,24.59  V,8.205 mA
1.249 nsec,9.869 mA,24.51  V,9.945 mA
1.482 nsec,12.55 mA,24.37  V,12.71 mA
1.875 nsec,18.76 mA,24.06  V,18.94 mA
2.312 nsec,27.93 mA,23.60  V,28.19 mA
3.183 nsec,53.16 mA,22.34  V,53.51 mA
4.183 nsec,86.15 mA,20.69  V,86.51 mA
5.117 nsec,114.3 mA,19.28  V,114.6 mA
6.117 nsec,139.0 mA,18.05  V,139.3 mA
6.179 nsec,140.4 mA,17.98  V,140.7 mA
6.367 nsec,144.6 mA,17.77  V,144.8 mA
6.929 nsec,169.1 mA,16.54  V,168.6 mA
6.951 nsec,171.4 mA,16.43  V,171.0 mA
7.015 nsec,180.4 mA,15.98  V,180.1 mA
7.197 nsec,242.0 mA,12.90  V,236.9 mA
7.204 nsec,246.2 mA,12.69  V,241.2 mA
7.227 nsec,260.7 mA,11.96  V,254.9 mA
7.295 nsec,326.4 mA,8.678  V,312.5 mA
7.299 nsec,331.9 mA,8.404  V,318.0 mA
7.311 nsec,348.5 mA,7.575  V,335.1 mA
7.345 nsec,439.6 mA,3.022  V,445.3 mA
7.347 nsec,443.8 mA,2.809  V,451.2 mA
7.349 nsec,451.2 mA,2.441  V,463.3 mA
7.355 nsec,475.5 mA,1.224  V,504.0 mA
7.355 nsec,476.7 mA,1.164  V,503.2 mA
7.356 nsec,479.4 mA,1.028  V,504.1 mA
