"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [530]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [530]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [530]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [530]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,1.033 mA,15.87 mV,34.73 uA
20.00 psec,2.125 mA,40.26 mV,72.33 uA
50.00 psec,5.118 mA,213.7 mV,184.4 uA
74.87 psec,7.650 mA,484.0 mV,313.7 uA
77.93 psec,7.967 mA,527.2 mV,331.4 uA
83.26 psec,8.561 mA,606.1 mV,374.0 uA
99.26 psec,10.58 mA,881.1 mV,775.7 uA
100.4 psec,10.76 mA,902.9 mV,922.6 uA
103.9 psec,11.39 mA,965.4 mV,1.691 mA
104.4 psec,11.51 mA,974.4 mV,1.842 mA
106.0 psec,11.88 mA,999.1 mV,2.315 mA
110.6 psec,13.22 mA,1.066  V,3.479 mA
118.7 psec,15.96 mA,1.186  V,4.422 mA
128.6 psec,19.39 mA,1.362  V,5.345 mA
145.9 psec,25.57 mA,1.774  V,7.092 mA
171.1 psec,34.78 mA,2.644  V,9.551 mA
222.5 psec,53.78 mA,5.734  V,14.61 mA
290.2 psec,78.03 mA,13.48  V,21.29 mA
381.7 psec,115.7 mA,31.80  V,43.66 mA
388.7 psec,119.0 mA,33.54  V,47.79 mA
404.8 psec,129.8 mA,37.62  V,61.17 mA
453.1 psec,215.2 mA,48.47  V,166.9 mA
494.0 psec,396.9 mA,53.10  V,388.6 mA
545.2 psec,764.1 mA,51.99  V,776.7 mA
584.4 psec,1.064  A,49.43  V,1.074  A
619.1 psec,1.308  A,47.22  V,1.320  A
660.4 psec,1.564  A,44.70  V,1.573  A
781.4 psec,2.112  A,36.36  V,2.128  A
788.5 psec,2.171  A,34.05  V,2.231  A
796.5 psec,2.272  A,29.71  V,2.416  A
797.9 psec,2.294  A,28.71  V,2.436  A
800.1 psec,2.332  A,27.00  V,2.484  A
807.0 psec,2.453  A,21.50  V,2.626  A
807.6 psec,2.464  A,20.99  V,2.635  A
809.4 psec,2.496  A,19.51  V,2.665  A
814.9 psec,2.589  A,15.25  V,2.752  A
821.5 psec,2.698  A,10.26  V,2.874  A
821.9 psec,2.706  A,9.872  V,2.894  A
823.1 psec,2.728  A,8.870  V,2.956  A
823.3 psec,2.732  A,8.661  V,2.969  A
823.9 psec,2.745  A,8.042  V,3.013  A
825.7 psec,2.800  A,5.429  V,3.308  A
825.8 psec,2.804  A,5.221  V,3.342  A
826.1 psec,2.817  A,4.594  V,3.479  A
826.2 psec,2.820  A,4.462  V,3.514  A
826.3 psec,2.827  A,4.120  V,3.608  A
826.7 psec,2.854  A,2.799  V,4.102  A
827.1 psec,2.886  A,1.226  V,4.592  A
827.2 psec,2.888  A,1.135  V,4.506  A
827.2 psec,2.891  A,975.7 mV,4.322  A
827.2 psec,2.891  A,950.0 mV,4.306  A
827.2 psec,2.893  A,878.7 mV,4.177  A
827.3 psec,2.893  A,867.2 mV,4.133  A
827.3 psec,2.894  A,838.1 mV,3.932  A
827.3 psec,2.894  A,834.2 mV,3.884  A
827.3 psec,2.894  A,824.3 mV,3.740  A
827.3 psec,2.894  A,810.9 mV,3.419  A
827.4 psec,2.894  A,806.2 mV,3.134  A
827.4 psec,2.895  A,803.2 mV,3.007  A
827.5 psec,2.895  A,800.4 mV,2.889  A
827.6 psec,2.895  A,799.6 mV,2.855  A
827.8 psec,2.895  A,798.9 mV,2.835  A
828.0 psec,2.895  A,798.8 mV,2.838  A
828.3 psec,2.896  A,797.9 mV,2.831  A
828.9 psec,2.896  A,796.7 mV,2.831  A
829.4 psec,2.897  A,795.2 mV,2.823  A
830.0 psec,2.898  A,793.9 mV,2.822  A
830.7 psec,2.899  A,792.1 mV,2.813  A
831.5 psec,2.900  A,790.5 mV,2.808  A
832.5 psec,2.901  A,788.6 mV,2.795  A
833.9 psec,2.903  A,786.7 mV,2.783  A
835.7 psec,2.905  A,784.5 mV,2.757  A
838.4 psec,2.908  A,782.5 mV,2.722  A
842.8 psec,2.912  A,780.6 mV,2.639  A
851.8 psec,2.921  A,778.0 mV,2.433  A
852.6 psec,2.922  A,777.7 mV,2.412  A
854.4 psec,2.924  A,776.7 mV,2.354  A
860.0 psec,2.929  A,759.2 mV,1.689  A
860.3 psec,2.929  A,758.3 mV,1.655  A
861.4 psec,2.930  A,756.2 mV,1.581  A
864.5 psec,2.933  A,753.5 mV,1.477  A
870.0 psec,2.937  A,752.5 mV,1.415  A
878.5 psec,2.943  A,752.7 mV,1.376  A
892.1 psec,2.952  A,753.7 mV,1.357  A
919.6 psec,2.965  A,755.1 mV,1.357  A
947.8 psec,2.975  A,755.8 mV,1.366  A
977.0 psec,2.981  A,756.3 mV,1.375  A
1.000 nsec,2.985  A,756.6 mV,1.382  A
1.006 nsec,2.985  A,756.7 mV,1.383  A
1.013 nsec,2.985  A,756.8 mV,1.384  A
1.036 nsec,2.985  A,757.0 mV,1.388  A
1.076 nsec,2.985  A,757.3 mV,1.394  A
1.131 nsec,2.985  A,757.6 mV,1.402  A
1.176 nsec,2.985  A,757.8 mV,1.406  A
1.226 nsec,2.985  A,758.0 mV,1.411  A
1.286 nsec,2.985  A,758.2 mV,1.416  A
1.366 nsec,2.985  A,758.5 mV,1.421  A
1.468 nsec,2.985  A,758.7 mV,1.426  A
1.599 nsec,2.985  A,759.0 mV,1.432  A
1.774 nsec,2.985  A,759.2 mV,1.439  A
2.031 nsec,2.985  A,759.6 mV,1.446  A
2.456 nsec,2.985  A,760.0 mV,1.456  A
3.289 nsec,2.985  A,760.6 mV,1.470  A
3.713 nsec,2.985  A,760.7 mV,1.473  A
4.137 nsec,2.985  A,760.6 mV,1.472  A
4.538 nsec,2.985  A,760.4 mV,1.467  A
5.011 nsec,2.985  A,760.0 mV,1.459  A
5.793 nsec,2.985  A,759.6 mV,1.450  A
6.793 nsec,2.985  A,759.4 mV,1.446  A
7.793 nsec,2.985  A,759.4 mV,1.446  A
8.793 nsec,2.985  A,759.4 mV,1.445  A
9.793 nsec,2.985  A,759.4 mV,1.445  A
10.71 nsec,2.985  A,759.3 mV,1.444  A
11.39 nsec,2.985  A,758.4 mV,1.425  A
11.42 nsec,2.985  A,758.3 mV,1.422  A
11.48 nsec,2.985  A,758.0 mV,1.415  A
11.66 nsec,2.985  A,755.2 mV,1.350  A
11.66 nsec,2.985  A,754.9 mV,1.343  A
11.69 nsec,2.985  A,753.8 mV,1.316  A
11.76 nsec,2.985  A,743.2 mV,1.046  A
11.82 nsec,2.985  A,735.6 mV,856.2 mA
11.82 nsec,2.985  A,735.3 mV,848.7 mA
11.83 nsec,2.985  A,734.7 mV,832.3 mA
11.83 nsec,2.985  A,734.6 mV,829.5 mA
11.84 nsec,2.985  A,734.3 mV,820.4 mA
11.85 nsec,2.985  A,733.1 mV,786.7 mA
11.85 nsec,2.985  A,733.0 mV,783.3 mA
11.86 nsec,2.985  A,732.7 mV,773.9 mA
11.87 nsec,2.985  A,732.0 mV,754.1 mA
11.88 nsec,2.985  A,731.9 mV,751.7 mA
11.88 nsec,2.985  A,731.7 mV,745.8 mA
11.91 nsec,2.985  A,731.3 mV,737.2 mA
11.96 nsec,2.985  A,731.1 mV,733.3 mA
12.04 nsec,2.985  A,731.1 mV,733.0 mA
12.17 nsec,2.985  A,731.1 mV,733.8 mA
12.33 nsec,2.985  A,731.2 mV,735.1 mA
12.55 nsec,2.985  A,731.2 mV,736.5 mA
12.85 nsec,2.985  A,731.3 mV,737.9 mA
13.28 nsec,2.985  A,731.3 mV,739.6 mA
13.98 nsec,2.985  A,731.4 mV,741.7 mA
14.37 nsec,2.985  A,731.4 mV,742.5 mA
14.73 nsec,2.985  A,731.4 mV,742.7 mA
15.07 nsec,2.985  A,731.4 mV,742.1 mA
15.42 nsec,2.985  A,731.4 mV,740.5 mA
15.83 nsec,2.985  A,731.3 mV,737.8 mA
16.40 nsec,2.985  A,731.1 mV,734.1 mA
17.40 nsec,2.985  A,731.0 mV,730.4 mA
18.40 nsec,2.985  A,731.0 mV,729.2 mA
19.40 nsec,2.985  A,730.9 mV,729.0 mA
20.40 nsec,2.985  A,730.9 mV,728.9 mA
21.40 nsec,2.985  A,730.9 mV,728.9 mA
22.40 nsec,2.985  A,730.9 mV,728.8 mA
23.39 nsec,2.985  A,730.9 mV,728.5 mA
24.14 nsec,2.985  A,730.9 mV,726.7 mA
24.81 nsec,2.985  A,730.4 mV,712.8 mA
24.85 nsec,2.985  A,730.3 mV,710.6 mA
24.91 nsec,2.985  A,730.1 mV,705.3 mA
25.10 nsec,2.985  A,727.9 mV,645.8 mA
25.22 nsec,2.986  A,723.9 mV,550.7 mA
25.23 nsec,2.986  A,723.6 mV,545.5 mA
25.25 nsec,2.986  A,723.1 mV,535.8 mA
25.30 nsec,2.986  A,722.2 mV,517.5 mA
25.31 nsec,2.986  A,722.1 mV,516.7 mA
25.32 nsec,2.986  A,722.0 mV,514.3 mA
25.36 nsec,2.986  A,721.6 mV,506.8 mA
25.36 nsec,2.986  A,721.6 mV,505.8 mA
25.38 nsec,2.986  A,721.4 mV,503.1 mA
25.42 nsec,2.986  A,721.1 mV,497.4 mA
25.52 nsec,2.986  A,720.9 mV,492.9 mA
25.65 nsec,2.986  A,720.8 mV,491.9 mA
25.85 nsec,2.986  A,720.8 mV,491.9 mA
26.10 nsec,2.986  A,720.8 mV,492.4 mA
26.45 nsec,2.986  A,720.8 mV,493.1 mA
26.96 nsec,2.986  A,720.9 mV,494.1 mA
27.80 nsec,2.986  A,721.0 mV,495.2 mA
28.24 nsec,2.986  A,721.0 mV,495.4 mA
28.69 nsec,2.986  A,720.9 mV,494.8 mA
29.12 nsec,2.986  A,720.9 mV,493.6 mA
29.61 nsec,2.986  A,720.8 mV,491.7 mA
30.35 nsec,2.986  A,720.7 mV,489.4 mA
31.35 nsec,2.986  A,720.6 mV,487.9 mA
32.35 nsec,2.986  A,720.6 mV,487.4 mA
33.35 nsec,2.986  A,720.5 mV,487.3 mA
34.35 nsec,2.986  A,720.5 mV,487.3 mA
35.35 nsec,2.986  A,720.5 mV,487.3 mA
36.35 nsec,2.986  A,720.5 mV,487.3 mA
37.35 nsec,2.986  A,720.5 mV,487.2 mA
38.24 nsec,2.986  A,720.5 mV,487.0 mA
39.00 nsec,2.986  A,720.5 mV,485.9 mA
39.70 nsec,2.986  A,720.2 mV,480.3 mA
39.73 nsec,2.986  A,720.1 mV,479.6 mA
39.81 nsec,2.986  A,720.0 mV,477.8 mA
40.03 nsec,2.986  A,719.4 mV,465.8 mA
40.22 nsec,2.986  A,717.3 mV,427.8 mA
40.40 nsec,2.986  A,714.7 mV,387.3 mA
40.42 nsec,2.986  A,714.6 mV,386.1 mA
40.45 nsec,2.986  A,714.4 mV,383.6 mA
40.53 nsec,2.986  A,714.1 mV,379.8 mA
40.54 nsec,2.986  A,714.1 mV,379.6 mA
40.56 nsec,2.986  A,714.1 mV,379.0 mA
40.63 nsec,2.986  A,713.9 mV,376.6 mA
40.64 nsec,2.986  A,713.9 mV,376.3 mA
40.67 nsec,2.986  A,713.8 mV,375.3 mA
40.75 nsec,2.986  A,713.6 mV,372.8 mA
40.96 nsec,2.986  A,713.5 mV,370.5 mA
41.22 nsec,2.986  A,713.4 mV,370.1 mA
41.59 nsec,2.986  A,713.4 mV,370.3 mA
42.07 nsec,2.986  A,713.5 mV,370.8 mA
42.85 nsec,2.986  A,713.5 mV,371.5 mA
43.25 nsec,2.986  A,713.5 mV,371.7 mA
43.66 nsec,2.986  A,713.5 mV,371.6 mA
44.04 nsec,2.986  A,713.5 mV,371.1 mA
44.47 nsec,2.986  A,713.4 mV,370.2 mA
45.01 nsec,2.986  A,713.3 mV,368.9 mA
45.92 nsec,2.986  A,713.2 mV,367.2 mA
46.92 nsec,2.986  A,713.2 mV,366.5 mA
47.92 nsec,2.986  A,713.1 mV,366.2 mA
48.92 nsec,2.986  A,713.1 mV,366.2 mA
49.92 nsec,2.986  A,713.1 mV,366.2 mA
50.92 nsec,2.986  A,713.1 mV,366.2 mA
51.92 nsec,2.986  A,713.1 mV,366.2 mA
52.92 nsec,2.986  A,713.1 mV,366.1 mA
53.92 nsec,2.986  A,713.1 mV,366.1 mA
54.79 nsec,2.986  A,713.1 mV,365.8 mA
55.59 nsec,2.986  A,713.1 mV,364.9 mA
56.32 nsec,2.986  A,712.7 mV,360.1 mA
56.36 nsec,2.986  A,712.7 mV,359.4 mA
56.44 nsec,2.986  A,712.6 mV,357.8 mA
56.68 nsec,2.986  A,711.8 mV,347.2 mA
56.88 nsec,2.986  A,710.1 mV,324.7 mA
57.09 nsec,2.986  A,708.5 mV,305.5 mA
57.10 nsec,2.986  A,708.5 mV,305.1 mA
57.14 nsec,2.986  A,708.4 mV,304.1 mA
57.25 nsec,2.986  A,708.2 mV,302.7 mA
57.42 nsec,2.986  A,708.1 mV,301.7 mA
57.44 nsec,2.986  A,708.1 mV,301.5 mA
57.49 nsec,2.986  A,708.1 mV,300.9 mA
57.63 nsec,2.986  A,707.9 mV,298.9 mA
57.66 nsec,2.986  A,707.9 mV,298.7 mA
57.73 nsec,2.986  A,707.8 mV,298.0 mA
57.93 nsec,2.986  A,707.7 mV,297.0 mA
58.44 nsec,2.986  A,707.7 mV,296.8 mA
59.03 nsec,2.986  A,707.7 mV,297.0 mA
59.90 nsec,2.986  A,707.8 mV,297.4 mA
60.51 nsec,2.986  A,707.7 mV,297.3 mA
61.06 nsec,2.986  A,707.7 mV,296.7 mA
61.63 nsec,2.986  A,707.6 mV,295.7 mA
62.37 nsec,2.986  A,707.5 mV,294.6 mA
63.37 nsec,2.986  A,707.4 mV,293.8 mA
64.37 nsec,2.986  A,707.4 mV,293.5 mA
65.37 nsec,2.986  A,707.4 mV,293.4 mA
66.37 nsec,2.986  A,707.4 mV,293.4 mA
67.37 nsec,2.986  A,707.4 mV,293.4 mA
68.37 nsec,2.986  A,707.4 mV,293.4 mA
69.37 nsec,2.986  A,707.4 mV,293.4 mA
70.37 nsec,2.986  A,707.4 mV,293.3 mA
71.37 nsec,2.986  A,707.4 mV,293.3 mA
