"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [477]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [477]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [477]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [477]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,344.5 uA,5.280 mV,11.55 uA
20.00 psec,709.3 uA,13.36 mV,23.85 uA
50.00 psec,1.730 mA,70.05 mV,59.22 uA
83.98 psec,3.016 mA,199.0 mV,109.5 uA
151.2 psec,6.675 mA,766.5 mV,319.1 uA
155.1 psec,6.977 mA,816.7 mV,404.6 uA
163.6 psec,7.843 mA,923.5 mV,987.6 uA
164.9 psec,8.011 mA,938.7 mV,1.172 mA
167.5 psec,8.404 mA,968.1 mV,1.665 mA
175.2 psec,10.07 mA,1.040  V,3.228 mA
185.9 psec,13.01 mA,1.131  V,4.441 mA
199.4 psec,16.92 mA,1.273  V,5.807 mA
222.2 psec,23.83 mA,1.605  V,8.274 mA
259.6 psec,35.75 mA,2.463  V,12.36 mA
323.3 psec,55.30 mA,5.091  V,19.00 mA
408.6 psec,74.07 mA,11.38  V,25.74 mA
534.1 psec,88.20 mA,24.43  V,42.81 mA
542.1 psec,88.63 mA,25.30  V,45.08 mA
566.3 psec,91.33 mA,27.78  V,53.92 mA
639.0 psec,123.4 mA,33.10  V,105.2 mA
716.3 psec,194.0 mA,34.86  V,194.2 mA
827.4 psec,311.6 mA,32.93  V,317.5 mA
911.3 psec,378.5 mA,30.69  V,382.9 mA
983.9 psec,419.4 mA,28.99  V,424.1 mA
1.000 nsec,427.3 mA,28.63  V,431.5 mA
1.005 nsec,429.4 mA,28.53  V,433.6 mA
1.019 nsec,435.5 mA,28.23  V,439.6 mA
1.063 nsec,452.5 mA,27.37  V,456.2 mA
1.167 nsec,486.3 mA,25.68  V,489.2 mA
1.416 nsec,542.1 mA,22.90  V,543.8 mA
1.675 nsec,704.2 mA,14.79  V,707.4 mA
1.676 nsec,705.1 mA,14.74  V,711.3 mA
1.678 nsec,708.5 mA,14.58  V,722.5 mA
1.684 nsec,723.7 mA,13.81  V,747.7 mA
1.697 nsec,768.0 mA,11.60  V,796.1 mA
1.711 nsec,830.3 mA,8.486  V,872.2 mA
1.713 nsec,840.4 mA,7.979  V,887.6 mA
1.715 nsec,851.9 mA,7.404  V,907.6 mA
1.721 nsec,897.5 mA,5.124  V,1.003  A
1.725 nsec,940.0 mA,2.999  V,1.124  A
1.725 nsec,943.6 mA,2.822  V,1.133  A
1.725 nsec,950.3 mA,2.485  V,1.153  A
1.727 nsec,971.2 mA,1.440  V,1.214  A
1.727 nsec,972.5 mA,1.376  V,1.211  A
1.727 nsec,975.2 mA,1.242  V,1.208  A
1.728 nsec,982.5 mA,874.0 mV,1.195  A
1.728 nsec,983.2 mA,839.1 mV,1.187  A
1.728 nsec,984.6 mA,768.4 mV,1.084  A
1.728 nsec,984.7 mA,764.2 mV,1.067  A
1.728 nsec,984.9 mA,755.7 mV,1.018  A
1.728 nsec,985.0 mA,748.0 mV,937.5 mA
1.729 nsec,985.0 mA,748.1 mV,923.8 mA
1.729 nsec,985.0 mA,747.6 mV,925.6 mA
1.729 nsec,985.0 mA,747.6 mV,924.1 mA
1.730 nsec,985.1 mA,746.8 mV,922.5 mA
1.731 nsec,985.1 mA,746.3 mV,920.1 mA
1.732 nsec,985.1 mA,745.2 mV,917.3 mA
1.733 nsec,985.1 mA,744.3 mV,913.7 mA
1.735 nsec,985.1 mA,742.8 mV,909.0 mA
1.737 nsec,985.2 mA,741.0 mV,901.9 mA
1.741 nsec,985.2 mA,738.5 mV,889.6 mA
1.749 nsec,985.3 mA,735.0 mV,863.0 mA
1.771 nsec,985.4 mA,729.5 mV,769.0 mA
1.799 nsec,985.5 mA,725.6 mV,649.5 mA
1.828 nsec,985.5 mA,723.5 mV,578.5 mA
1.830 nsec,985.5 mA,723.4 mV,575.6 mA
1.836 nsec,985.5 mA,723.2 mV,567.6 mA
1.855 nsec,985.5 mA,722.7 mV,549.7 mA
1.883 nsec,985.6 mA,722.0 mV,530.0 mA
1.886 nsec,985.6 mA,721.9 mV,528.3 mA
1.894 nsec,985.6 mA,721.8 mV,524.0 mA
1.916 nsec,985.6 mA,721.3 mV,512.4 mA
1.953 nsec,985.6 mA,720.8 mV,498.1 mA
2.000 nsec,985.6 mA,720.5 mV,487.5 mA
2.050 nsec,985.6 mA,720.3 mV,481.1 mA
2.109 nsec,985.6 mA,720.2 mV,477.4 mA
2.184 nsec,985.6 mA,720.2 mV,475.4 mA
