"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [475]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [475]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [475]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [475]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,344.5 uA,5.280 mV,11.55 uA
20.00 psec,709.3 uA,13.36 mV,23.85 uA
50.00 psec,1.730 mA,70.05 mV,59.22 uA
83.98 psec,3.016 mA,199.0 mV,109.5 uA
151.2 psec,6.676 mA,766.5 mV,319.5 uA
155.1 psec,6.978 mA,816.7 mV,404.5 uA
163.6 psec,7.830 mA,924.4 mV,942.4 uA
164.9 psec,7.997 mA,940.4 mV,1.104 mA
167.7 psec,8.393 mA,972.9 mV,1.526 mA
175.9 psec,9.953 mA,1.061  V,2.669 mA
187.8 psec,12.59 mA,1.196  V,3.454 mA
202.9 psec,15.97 mA,1.417  V,4.413 mA
228.1 psec,21.53 mA,1.921  V,5.952 mA
270.9 psec,30.60 mA,3.249  V,8.382 mA
342.3 psec,43.41 mA,7.065  V,11.76 mA
450.5 psec,54.09 mA,16.75  V,15.38 mA
582.2 psec,57.39 mA,31.13  V,27.46 mA
591.3 psec,57.67 mA,32.02  V,29.27 mA
618.5 psec,59.38 mA,34.52  V,35.88 mA
700.1 psec,81.35 mA,39.58  V,70.91 mA
787.7 psec,129.3 mA,41.05  V,130.1 mA
909.5 psec,212.3 mA,38.99  V,217.5 mA
1.000 nsec,266.7 mA,36.66  V,271.0 mA
1.009 nsec,271.0 mA,36.45  V,275.5 mA
1.034 nsec,283.7 mA,35.82  V,288.3 mA
1.112 nsec,318.8 mA,34.06  V,322.7 mA
1.218 nsec,359.0 mA,32.05  V,362.3 mA
1.533 nsec,441.9 mA,27.91  V,443.7 mA
1.831 nsec,494.9 mA,25.26  V,496.5 mA
1.855 nsec,500.4 mA,24.98  V,502.5 mA
1.927 nsec,531.3 mA,23.43  V,536.4 mA
1.934 nsec,537.2 mA,23.14  V,543.2 mA
1.954 nsec,555.8 mA,22.21  V,565.1 mA
2.012 nsec,668.3 mA,16.59  V,683.0 mA
2.014 nsec,675.1 mA,16.25  V,690.5 mA
2.022 nsec,696.9 mA,15.15  V,713.6 mA
2.023 nsec,701.4 mA,14.93  V,717.7 mA
2.027 nsec,714.9 mA,14.25  V,730.7 mA
2.040 nsec,760.4 mA,11.98  V,773.7 mA
2.059 nsec,866.5 mA,6.676  V,896.6 mA
2.060 nsec,873.3 mA,6.333  V,910.8 mA
2.061 nsec,878.6 mA,6.070  V,922.8 mA
2.063 nsec,896.7 mA,5.164  V,967.9 mA
2.065 nsec,924.1 mA,3.795  V,1.045  A
2.066 nsec,927.6 mA,3.622  V,1.056  A
2.066 nsec,935.5 mA,3.223  V,1.081  A
2.068 nsec,962.0 mA,1.898  V,1.170  A
2.068 nsec,963.9 mA,1.806  V,1.172  A
2.068 nsec,966.9 mA,1.654  V,1.178  A
2.069 nsec,975.9 mA,1.207  V,1.197  A
2.069 nsec,976.6 mA,1.168  V,1.195  A
2.069 nsec,979.0 mA,1.052  V,1.191  A
2.069 nsec,979.4 mA,1.031  V,1.191  A
2.069 nsec,980.6 mA,968.2 mV,1.187  A
2.070 nsec,983.9 mA,804.2 mV,1.140  A
2.070 nsec,984.2 mA,792.4 mV,1.124  A
2.070 nsec,984.7 mA,766.3 mV,1.042  A
2.070 nsec,984.7 mA,763.6 mV,1.025  A
2.070 nsec,984.8 mA,757.5 mV,979.5 mA
2.070 nsec,985.0 mA,750.7 mV,905.9 mA
2.070 nsec,985.0 mA,749.3 mV,878.9 mA
2.071 nsec,985.0 mA,749.0 mV,880.2 mA
2.071 nsec,985.0 mA,748.9 mV,878.3 mA
2.072 nsec,985.0 mA,748.2 mV,875.7 mA
2.072 nsec,985.0 mA,747.5 mV,872.0 mA
2.073 nsec,985.1 mA,746.5 mV,867.8 mA
2.074 nsec,985.1 mA,745.3 mV,862.3 mA
2.076 nsec,985.1 mA,743.7 mV,855.4 mA
2.078 nsec,985.2 mA,741.8 mV,845.1 mA
2.082 nsec,985.2 mA,739.0 mV,828.5 mA
2.089 nsec,985.3 mA,735.1 mV,794.8 mA
2.106 nsec,985.4 mA,728.7 mV,696.1 mA
2.134 nsec,985.5 mA,722.7 mV,547.8 mA
2.136 nsec,985.6 mA,722.3 mV,538.6 mA
2.141 nsec,985.6 mA,721.5 mV,516.1 mA
2.158 nsec,985.6 mA,719.5 mV,463.8 mA
2.159 nsec,985.6 mA,719.4 mV,461.7 mA
