"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [412]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [412]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [412]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [412]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,349.4 uA,5.037 mV,11.02 uA
20.00 psec,721.1 uA,12.78 mV,22.86 uA
50.00 psec,1.778 mA,67.65 mV,57.53 uA
81.76 psec,3.026 mA,182.9 mV,103.7 uA
155.4 psec,7.193 mA,809.8 mV,368.7 uA
159.3 psec,7.510 mA,861.7 mV,523.8 uA
167.0 psec,8.288 mA,964.3 mV,1.398 mA
168.1 psec,8.421 mA,979.0 mV,1.610 mA
170.2 psec,8.702 mA,1.007  V,2.090 mA
176.7 psec,9.698 mA,1.090  V,3.320 mA
187.6 psec,11.59 mA,1.242  V,4.227 mA
200.1 psec,13.72 mA,1.451  V,4.951 mA
221.3 psec,17.20 mA,1.908  V,6.238 mA
250.8 psec,21.83 mA,2.775  V,7.864 mA
312.5 psec,31.58 mA,5.558  V,12.46 mA
318.0 psec,32.43 mA,5.876  V,13.10 mA
332.1 psec,35.12 mA,6.725  V,15.49 mA
374.6 psec,57.67 mA,9.009  V,44.52 mA
407.8 psec,108.0 mA,9.600  V,110.8 mA
448.1 psec,185.8 mA,9.910  V,178.6 mA
498.2 psec,297.1 mA,9.937  V,304.0 mA
585.8 psec,484.0 mA,10.16  V,475.6 mA
682.7 psec,646.7 mA,10.21  V,654.8 mA
827.9 psec,762.2 mA,10.41  V,753.4 mA
1.000 nsec,790.7 mA,10.46  V,799.4 mA
1.025 nsec,789.8 mA,10.51  V,789.3 mA
1.089 nsec,789.1 mA,10.54  V,789.4 mA
1.239 nsec,787.3 mA,10.64  V,786.7 mA
1.404 nsec,786.9 mA,10.66  V,786.1 mA
