"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [437]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [437]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [437]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [437]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,344.5 uA,5.280 mV,11.55 uA
20.00 psec,709.3 uA,13.36 mV,23.85 uA
50.00 psec,1.730 mA,70.05 mV,59.22 uA
83.98 psec,3.016 mA,199.0 mV,109.5 uA
151.2 psec,6.676 mA,766.4 mV,319.5 uA
155.1 psec,6.978 mA,816.7 mV,404.5 uA
163.0 psec,7.755 mA,917.2 mV,880.6 uA
164.2 psec,7.899 mA,931.8 mV,1.016 mA
166.6 psec,8.219 mA,960.2 mV,1.359 mA
173.6 psec,9.483 mA,1.037  V,2.412 mA
184.5 psec,11.85 mA,1.156  V,3.275 mA
196.7 psec,14.57 mA,1.318  V,4.002 mA
216.4 psec,18.96 mA,1.664  V,5.262 mA
248.2 psec,25.87 mA,2.465  V,7.113 mA
303.3 psec,36.87 mA,4.718  V,10.05 mA
389.3 psec,49.39 mA,10.75  V,13.37 mA
511.9 psec,54.49 mA,23.63  V,17.03 mA
651.2 psec,54.73 mA,37.53  V,34.15 mA
660.5 psec,55.81 mA,38.19  V,36.51 mA
688.4 psec,59.16 mA,39.96  V,44.20 mA
771.8 psec,80.71 mA,42.96  V,76.47 mA
874.5 psec,124.3 mA,43.05  V,126.8 mA
974.9 psec,171.9 mA,41.34  V,175.5 mA
1.000 nsec,183.3 mA,40.83  V,187.0 mA
1.008 nsec,186.5 mA,40.67  V,190.3 mA
1.026 nsec,194.3 mA,40.29  V,198.1 mA
1.074 nsec,214.3 mA,39.29  V,218.0 mA
1.154 nsec,245.9 mA,37.71  V,249.3 mA
1.331 nsec,304.8 mA,34.76  V,307.6 mA
1.666 nsec,385.7 mA,30.72  V,387.5 mA
2.069 nsec,449.5 mA,27.52  V,450.8 mA
2.568 nsec,524.2 mA,23.79  V,525.2 mA
2.598 nsec,538.1 mA,23.10  V,541.6 mA
2.660 nsec,588.2 mA,20.59  V,596.6 mA
2.667 nsec,597.4 mA,20.13  V,605.8 mA
2.682 nsec,616.3 mA,19.18  V,625.9 mA
2.725 nsec,689.6 mA,15.52  V,698.3 mA
2.728 nsec,694.7 mA,15.26  V,703.2 mA
2.736 nsec,710.5 mA,14.47  V,718.4 mA
2.759 nsec,763.5 mA,11.83  V,766.4 mA
2.790 nsec,864.8 mA,6.760  V,869.3 mA
2.792 nsec,872.5 mA,6.375  V,882.8 mA
2.793 nsec,878.8 mA,6.061  V,895.1 mA
2.797 nsec,901.9 mA,4.907  V,943.1 mA
2.801 nsec,929.5 mA,3.523  V,1.010  A
2.805 nsec,973.5 mA,1.324  V,1.133  A
2.806 nsec,976.2 mA,1.190  V,1.128  A
2.806 nsec,979.3 mA,1.033  V,1.121  A
2.806 nsec,979.9 mA,1.005  V,1.123  A
2.806 nsec,981.6 mA,921.3 mV,1.119  A
2.806 nsec,981.9 mA,906.0 mV,1.120  A
2.806 nsec,982.8 mA,860.9 mV,1.115  A
2.807 nsec,984.6 mA,771.2 mV,1.008  A
2.807 nsec,984.6 mA,768.5 mV,997.3 mA
2.807 nsec,984.7 mA,762.6 mV,966.3 mA
2.807 nsec,984.9 mA,756.3 mV,915.9 mA
2.807 nsec,984.9 mA,755.7 mV,904.4 mA
2.808 nsec,984.9 mA,755.5 mV,906.6 mA
2.808 nsec,984.9 mA,755.3 mV,904.9 mA
2.809 nsec,984.9 mA,754.5 mV,903.3 mA
2.811 nsec,984.9 mA,753.4 mV,900.3 mA
2.813 nsec,985.0 mA,751.8 mV,896.9 mA
2.815 nsec,985.0 mA,750.3 mV,892.5 mA
2.817 nsec,985.0 mA,748.4 mV,887.4 mA
2.820 nsec,985.1 mA,746.4 mV,880.6 mA
2.824 nsec,985.1 mA,744.0 mV,871.6 mA
2.830 nsec,985.2 mA,741.3 mV,858.5 mA
2.839 nsec,985.2 mA,738.1 mV,836.8 mA
2.854 nsec,985.3 mA,734.2 mV,796.2 mA
2.887 nsec,985.4 mA,729.0 mV,705.3 mA
2.919 nsec,985.5 mA,726.1 mV,637.4 mA
2.963 nsec,985.5 mA,723.8 mV,579.7 mA
2.967 nsec,985.5 mA,723.7 mV,577.0 mA
2.974 nsec,985.5 mA,723.5 mV,571.1 mA
2.996 nsec,985.5 mA,722.8 mV,554.6 mA
3.033 nsec,985.6 mA,721.8 mV,531.0 mA
3.080 nsec,985.6 mA,721.0 mV,511.7 mA
