"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [492]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [492]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [492]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [492]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,344.3 uA,5.291 mV,11.56 uA
20.00 psec,708.9 uA,13.39 mV,23.85 uA
50.00 psec,1.729 mA,70.09 mV,59.20 uA
83.98 psec,3.015 mA,199.0 mV,109.5 uA
151.2 psec,6.675 mA,766.5 mV,319.4 uA
155.2 psec,6.977 mA,816.8 mV,404.0 uA
163.6 psec,7.829 mA,924.6 mV,939.0 uA
164.9 psec,7.996 mA,940.7 mV,1.099 mA
167.7 psec,8.393 mA,973.4 mV,1.518 mA
176.0 psec,9.957 mA,1.062  V,2.661 mA
187.9 psec,12.60 mA,1.198  V,3.457 mA
203.2 psec,16.01 mA,1.422  V,4.421 mA
228.5 psec,21.61 mA,1.932  V,5.973 mA
271.6 psec,30.73 mA,3.278  V,8.416 mA
343.3 psec,43.56 mA,7.136  V,11.80 mA
452.2 psec,54.18 mA,16.93  V,15.44 mA
584.1 psec,57.47 mA,31.32  V,27.80 mA
593.2 psec,57.79 mA,32.21  V,29.65 mA
620.5 psec,59.62 mA,34.69  V,36.40 mA
702.2 psec,81.96 mA,39.67  V,71.79 mA
790.0 psec,130.1 mA,41.08  V,131.0 mA
910.2 psec,211.2 mA,39.05  V,216.3 mA
1.000 nsec,264.5 mA,36.77  V,268.8 mA
1.009 nsec,268.7 mA,36.57  V,273.2 mA
1.034 nsec,281.1 mA,35.94  V,285.7 mA
1.111 nsec,315.5 mA,34.23  V,319.3 mA
1.216 nsec,355.1 mA,32.24  V,358.4 mA
1.531 nsec,437.2 mA,28.14  V,439.0 mA
1.827 nsec,489.4 mA,25.53  V,491.0 mA
1.851 nsec,494.6 mA,25.27  V,496.6 mA
1.923 nsec,522.7 mA,23.86  V,527.5 mA
1.931 nsec,528.7 mA,23.57  V,534.3 mA
1.954 nsec,549.2 mA,22.54  V,558.3 mA
1.959 nsec,554.2 mA,22.29  V,563.7 mA
1.971 nsec,570.1 mA,21.50  V,581.5 mA
2.007 nsec,640.1 mA,17.99  V,656.1 mA
2.009 nsec,645.3 mA,17.74  V,661.4 mA
2.016 nsec,661.4 mA,16.93  V,678.1 mA
2.017 nsec,664.6 mA,16.77  V,681.2 mA
2.021 nsec,674.4 mA,16.28  V,690.8 mA
2.031 nsec,705.8 mA,14.71  V,720.6 mA
2.051 nsec,772.6 mA,11.37  V,780.7 mA
2.052 nsec,779.1 mA,11.05  V,787.0 mA
2.057 nsec,798.4 mA,10.08  V,807.2 mA
2.071 nsec,882.7 mA,5.864  V,920.2 mA
2.072 nsec,886.9 mA,5.656  V,928.2 mA
2.073 nsec,895.6 mA,5.219  V,948.4 mA
2.076 nsec,928.0 mA,3.598  V,1.036  A
2.079 nsec,961.0 mA,1.948  V,1.124  A
2.079 nsec,963.5 mA,1.824  V,1.124  A
2.079 nsec,966.4 mA,1.678  V,1.121  A
2.079 nsec,967.0 mA,1.651  V,1.121  A
2.080 nsec,968.6 mA,1.572  V,1.120  A
2.080 nsec,972.9 mA,1.356  V,1.095  A
2.080 nsec,973.2 mA,1.341  V,1.089  A
2.080 nsec,974.0 mA,1.299  V,1.058  A
2.080 nsec,974.1 mA,1.293  V,1.050  A
2.080 nsec,974.5 mA,1.277  V,1.026  A
2.080 nsec,975.2 mA,1.241  V,967.0 mA
