"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,343.2 uA,5.347 mV,11.55 uA
20.00 psec,706.7 uA,13.49 mV,23.81 uA
50.00 psec,1.725 mA,70.27 mV,59.10 uA
83.98 psec,3.010 mA,199.3 mV,109.4 uA
151.2 psec,6.669 mA,767.0 mV,318.7 uA
155.2 psec,6.971 mA,817.3 mV,402.1 uA
163.7 psec,7.831 mA,926.4 mV,937.0 uA
165.2 psec,8.018 mA,944.3 mV,1.113 mA
168.3 psec,8.476 mA,981.2 mV,1.588 mA
177.7 psec,10.29 mA,1.082  V,2.808 mA
190.0 psec,13.04 mA,1.227  V,3.557 mA
209.5 psec,17.36 mA,1.534  V,4.811 mA
237.5 psec,23.53 mA,2.163  V,6.478 mA
297.3 psec,35.75 mA,4.414  V,9.755 mA
377.8 psec,48.12 mA,9.771  V,13.04 mA
500.4 psec,55.59 mA,22.27  V,17.65 mA
636.9 psec,63.14 mA,35.94  V,41.86 mA
646.1 psec,65.03 mA,36.61  V,45.21 mA
670.7 psec,70.61 mA,38.20  V,55.17 mA
744.7 psec,101.0 mA,40.89  V,96.66 mA
833.9 psec,156.1 mA,40.83  V,159.2 mA
919.1 psec,211.8 mA,39.08  V,216.2 mA
1.000 nsec,257.6 mA,37.12  V,262.2 mA
1.007 nsec,261.3 mA,36.94  V,265.8 mA
1.029 nsec,272.0 mA,36.40  V,276.4 mA
1.095 nsec,301.5 mA,34.92  V,305.5 mA
1.243 nsec,355.5 mA,32.22  V,358.6 mA
1.484 nsec,418.5 mA,29.07  V,420.6 mA
1.777 nsec,470.2 mA,26.49  V,471.7 mA
1.801 nsec,474.0 mA,26.30  V,475.6 mA
1.872 nsec,487.5 mA,25.62  V,489.6 mA
1.886 nsec,490.9 mA,25.45  V,493.2 mA
1.926 nsec,505.0 mA,24.75  V,508.8 mA
1.933 nsec,508.5 mA,24.57  V,512.6 mA
1.955 nsec,521.4 mA,23.93  V,527.2 mA
2.018 nsec,602.5 mA,19.87  V,613.3 mA
2.021 nsec,608.0 mA,19.60  V,619.5 mA
2.030 nsec,625.9 mA,18.70  V,638.5 mA
2.056 nsec,691.0 mA,15.45  V,697.2 mA
2.057 nsec,695.4 mA,15.23  V,701.0 mA
2.062 nsec,709.1 mA,14.54  V,712.5 mA
2.076 nsec,754.4 mA,12.28  V,747.1 mA
2.096 nsec,840.4 mA,7.982  V,820.9 mA
2.097 nsec,847.1 mA,7.645  V,829.9 mA
2.099 nsec,855.0 mA,7.250  V,841.9 mA
2.103 nsec,883.9 mA,5.806  V,893.2 mA
2.106 nsec,911.3 mA,4.433  V,947.5 mA
2.106 nsec,914.9 mA,4.257  V,954.4 mA
2.107 nsec,920.3 mA,3.983  V,964.4 mA
2.108 nsec,937.3 mA,3.137  V,993.1 mA
2.109 nsec,938.4 mA,3.082  V,993.7 mA
2.109 nsec,941.0 mA,2.950  V,994.7 mA
2.110 nsec,948.5 mA,2.573  V,991.9 mA
2.110 nsec,949.4 mA,2.532  V,989.9 mA
2.110 nsec,951.6 mA,2.422  V,960.8 mA
2.110 nsec,951.7 mA,2.413  V,955.5 mA
2.110 nsec,952.2 mA,2.388  V,938.6 mA
2.110 nsec,953.4 mA,2.330  V,895.7 mA
2.111 nsec,954.6 mA,2.270  V,855.4 mA
2.111 nsec,955.3 mA,2.236  V,832.6 mA
2.112 nsec,955.8 mA,2.209  V,813.1 mA
2.112 nsec,956.1 mA,2.194  V,800.5 mA
2.114 nsec,956.3 mA,2.187  V,791.7 mA
2.115 nsec,956.3 mA,2.185  V,784.2 mA
2.117 nsec,956.3 mA,2.183  V,775.6 mA
2.120 nsec,956.4 mA,2.180  V,763.9 mA
2.124 nsec,956.5 mA,2.177  V,744.4 mA
2.136 nsec,956.6 mA,2.170  V,697.6 mA
2.162 nsec,956.8 mA,2.162  V,618.7 mA
2.192 nsec,956.8 mA,2.158  V,580.6 mA
2.223 nsec,956.9 mA,2.157  V,570.9 mA
2.265 nsec,956.9 mA,2.156  V,565.8 mA
2.300 nsec,956.9 mA,2.156  V,559.9 mA
2.351 nsec,956.9 mA,2.156  V,548.2 mA
2.414 nsec,956.9 mA,2.155  V,535.0 mA
2.498 nsec,956.9 mA,2.155  V,522.9 mA
2.600 nsec,956.9 mA,2.155  V,513.7 mA
2.733 nsec,956.9 mA,2.155  V,506.6 mA
2.912 nsec,956.9 mA,2.155  V,500.9 mA
3.178 nsec,956.9 mA,2.155  V,495.8 mA
3.602 nsec,956.9 mA,2.155  V,490.6 mA
4.287 nsec,956.9 mA,2.155  V,485.9 mA
4.914 nsec,956.9 mA,2.154  V,482.9 mA
5.368 nsec,957.0 mA,2.150  V,480.5 mA
5.802 nsec,957.2 mA,2.141  V,476.4 mA
6.239 nsec,957.5 mA,2.126  V,471.0 mA
6.776 nsec,957.9 mA,2.106  V,464.0 mA
7.657 nsec,958.3 mA,2.084  V,456.3 mA
8.657 nsec,958.5 mA,2.074  V,452.7 mA
9.657 nsec,958.6 mA,2.071  V,451.8 mA
10.66 nsec,958.6 mA,2.070  V,451.4 mA
11.66 nsec,958.6 mA,2.070  V,451.5 mA
12.66 nsec,958.6 mA,2.070  V,451.3 mA
13.66 nsec,958.6 mA,2.070  V,451.4 mA
14.66 nsec,958.6 mA,2.069  V,451.1 mA
15.66 nsec,958.7 mA,2.066  V,450.2 mA
16.50 nsec,959.0 mA,2.051  V,445.1 mA
16.54 nsec,959.0 mA,2.049  V,444.6 mA
16.64 nsec,959.1 mA,2.045  V,443.2 mA
16.91 nsec,959.5 mA,2.023  V,435.9 mA
17.20 nsec,960.9 mA,1.956  V,414.1 mA
17.22 nsec,961.0 mA,1.948  V,411.3 mA
17.26 nsec,961.5 mA,1.925  V,403.9 mA
17.39 nsec,964.7 mA,1.767  V,352.1 mA
17.39 nsec,964.9 mA,1.756  V,348.4 mA
17.40 nsec,965.5 mA,1.726  V,338.5 mA
17.44 nsec,968.4 mA,1.582  V,291.9 mA
17.47 nsec,970.9 mA,1.456  V,251.0 mA
17.47 nsec,970.9 mA,1.454  V,250.2 mA
17.47 nsec,971.0 mA,1.451  V,249.3 mA
17.48 nsec,971.1 mA,1.446  V,247.7 mA
17.50 nsec,971.2 mA,1.442  V,246.4 mA
17.52 nsec,971.2 mA,1.438  V,245.2 mA
17.58 nsec,971.3 mA,1.434  V,243.7 mA
17.66 nsec,971.4 mA,1.432  V,243.2 mA
17.77 nsec,971.4 mA,1.431  V,243.1 mA
17.92 nsec,971.4 mA,1.431  V,243.1 mA
18.12 nsec,971.4 mA,1.431  V,243.0 mA
18.43 nsec,971.4 mA,1.431  V,243.0 mA
18.46 nsec,971.4 mA,1.431  V,242.9 mA
18.54 nsec,971.4 mA,1.431  V,242.9 mA
18.77 nsec,971.4 mA,1.431  V,242.8 mA
18.81 nsec,971.4 mA,1.431  V,242.8 mA
18.92 nsec,971.4 mA,1.431  V,242.7 mA
19.24 nsec,971.4 mA,1.431  V,242.7 mA
20.01 nsec,971.4 mA,1.431  V,242.7 mA
20.61 nsec,971.4 mA,1.430  V,242.6 mA
20.99 nsec,971.4 mA,1.430  V,242.4 mA
21.39 nsec,971.4 mA,1.428  V,241.8 mA
21.78 nsec,971.5 mA,1.425  V,240.8 mA
22.23 nsec,971.6 mA,1.419  V,239.0 mA
22.82 nsec,971.8 mA,1.411  V,236.4 mA
23.82 nsec,972.0 mA,1.402  V,233.4 mA
24.82 nsec,972.0 mA,1.398  V,232.2 mA
25.82 nsec,972.1 mA,1.397  V,231.8 mA
26.82 nsec,972.1 mA,1.396  V,231.6 mA
27.82 nsec,972.1 mA,1.396  V,231.6 mA
28.82 nsec,972.1 mA,1.396  V,231.6 mA
29.82 nsec,972.1 mA,1.396  V,231.6 mA
30.82 nsec,972.1 mA,1.396  V,231.6 mA
31.82 nsec,972.1 mA,1.396  V,231.6 mA
32.82 nsec,972.1 mA,1.396  V,231.5 mA
33.82 nsec,972.1 mA,1.396  V,231.4 mA
34.82 nsec,972.1 mA,1.394  V,231.0 mA
35.78 nsec,972.2 mA,1.390  V,229.7 mA
36.68 nsec,972.6 mA,1.370  V,223.0 mA
36.73 nsec,972.7 mA,1.367  V,222.2 mA
36.84 nsec,972.8 mA,1.360  V,219.9 mA
37.14 nsec,974.2 mA,1.292  V,198.0 mA
37.16 nsec,974.3 mA,1.285  V,195.8 mA
37.18 nsec,974.7 mA,1.267  V,190.1 mA
37.19 nsec,974.7 mA,1.263  V,188.8 mA
37.20 nsec,975.0 mA,1.252  V,185.2 mA
37.24 nsec,975.8 mA,1.209  V,171.5 mA
37.25 nsec,975.9 mA,1.205  V,170.3 mA
37.26 nsec,976.1 mA,1.197  V,167.9 mA
37.26 nsec,976.1 mA,1.197  V,167.7 mA
37.27 nsec,976.1 mA,1.195  V,167.0 mA
37.29 nsec,976.2 mA,1.191  V,165.7 mA
37.34 nsec,976.3 mA,1.185  V,163.9 mA
37.40 nsec,976.3 mA,1.183  V,163.1 mA
37.51 nsec,976.4 mA,1.181  V,162.6 mA
37.66 nsec,976.4 mA,1.181  V,162.5 mA
37.88 nsec,976.4 mA,1.181  V,162.6 mA
38.16 nsec,976.4 mA,1.181  V,162.7 mA
38.60 nsec,976.4 mA,1.181  V,162.7 mA
39.17 nsec,976.4 mA,1.180  V,162.8 mA
39.23 nsec,976.4 mA,1.180  V,162.8 mA
39.40 nsec,976.4 mA,1.180  V,162.8 mA
39.90 nsec,976.4 mA,1.180  V,162.7 mA
39.95 nsec,976.4 mA,1.180  V,162.7 mA
40.12 nsec,976.4 mA,1.180  V,162.7 mA
40.61 nsec,976.4 mA,1.180  V,162.7 mA
41.03 nsec,976.4 mA,1.180  V,162.6 mA
41.34 nsec,976.4 mA,1.180  V,162.6 mA
41.65 nsec,976.4 mA,1.179  V,162.5 mA
41.97 nsec,976.4 mA,1.179  V,162.2 mA
42.33 nsec,976.5 mA,1.177  V,161.8 mA
42.77 nsec,976.5 mA,1.175  V,161.0 mA
43.33 nsec,976.6 mA,1.171  V,159.7 mA
44.19 nsec,976.7 mA,1.165  V,158.0 mA
45.19 nsec,976.8 mA,1.162  V,156.9 mA
46.19 nsec,976.8 mA,1.161  V,156.5 mA
47.19 nsec,976.8 mA,1.160  V,156.4 mA
48.19 nsec,976.8 mA,1.160  V,156.3 mA
49.19 nsec,976.8 mA,1.160  V,156.3 mA
50.19 nsec,976.8 mA,1.160  V,156.3 mA
51.19 nsec,976.8 mA,1.160  V,156.3 mA
52.19 nsec,976.8 mA,1.160  V,156.3 mA
53.19 nsec,976.8 mA,1.160  V,156.3 mA
54.19 nsec,976.8 mA,1.160  V,156.3 mA
55.19 nsec,976.8 mA,1.160  V,156.3 mA
56.19 nsec,976.8 mA,1.160  V,156.3 mA
57.19 nsec,976.8 mA,1.160  V,156.2 mA
58.19 nsec,976.8 mA,1.159  V,156.0 mA
59.19 nsec,976.8 mA,1.158  V,155.7 mA
60.19 nsec,976.9 mA,1.155  V,154.6 mA
61.19 nsec,977.2 mA,1.139  V,149.6 mA
61.25 nsec,977.3 mA,1.137  V,148.9 mA
61.36 nsec,977.4 mA,1.131  V,147.1 mA
61.71 nsec,978.7 mA,1.065  V,126.3 mA
