"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [462]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [462]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [462]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [462]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,344.5 uA,5.280 mV,11.55 uA
20.00 psec,709.3 uA,13.36 mV,23.85 uA
50.00 psec,1.730 mA,70.05 mV,59.22 uA
83.98 psec,3.016 mA,199.0 mV,109.5 uA
151.2 psec,6.676 mA,766.5 mV,319.5 uA
155.1 psec,6.978 mA,816.7 mV,404.5 uA
163.6 psec,7.830 mA,924.4 mV,942.4 uA
164.9 psec,7.997 mA,940.4 mV,1.104 mA
167.7 psec,8.393 mA,972.9 mV,1.526 mA
175.9 psec,9.953 mA,1.061  V,2.669 mA
187.8 psec,12.59 mA,1.196  V,3.454 mA
202.9 psec,15.97 mA,1.417  V,4.413 mA
228.1 psec,21.53 mA,1.921  V,5.952 mA
270.9 psec,30.60 mA,3.249  V,8.382 mA
342.3 psec,43.41 mA,7.065  V,11.76 mA
450.5 psec,54.09 mA,16.75  V,15.38 mA
582.2 psec,57.39 mA,31.13  V,27.46 mA
591.3 psec,57.67 mA,32.02  V,29.27 mA
618.5 psec,59.38 mA,34.52  V,35.88 mA
700.1 psec,81.35 mA,39.58  V,70.91 mA
787.7 psec,129.3 mA,41.05  V,130.1 mA
909.5 psec,212.3 mA,38.99  V,217.5 mA
1.000 nsec,266.7 mA,36.66  V,271.0 mA
1.009 nsec,271.0 mA,36.45  V,275.5 mA
1.034 nsec,283.7 mA,35.82  V,288.3 mA
1.112 nsec,318.8 mA,34.06  V,322.7 mA
1.218 nsec,359.0 mA,32.05  V,362.3 mA
1.533 nsec,441.9 mA,27.91  V,443.7 mA
1.831 nsec,495.5 mA,25.23  V,497.1 mA
1.855 nsec,501.3 mA,24.93  V,503.6 mA
1.926 nsec,535.3 mA,23.24  V,541.1 mA
1.934 nsec,541.8 mA,22.91  V,548.8 mA
1.954 nsec,563.0 mA,21.85  V,573.7 mA
1.957 nsec,568.0 mA,21.60  V,579.0 mA
1.968 nsec,583.9 mA,20.81  V,596.8 mA
2.000 nsec,649.9 mA,17.50  V,666.9 mA
2.002 nsec,655.0 mA,17.25  V,672.0 mA
2.008 nsec,670.6 mA,16.47  V,688.1 mA
2.026 nsec,723.6 mA,13.82  V,738.5 mA
2.048 nsec,806.4 mA,9.679  V,814.1 mA
2.049 nsec,814.4 mA,9.279  V,823.3 mA
2.053 nsec,829.2 mA,8.542  V,842.1 mA
2.062 nsec,890.5 mA,5.476  V,938.1 mA
2.068 nsec,949.8 mA,2.509  V,1.099  A
2.068 nsec,955.3 mA,2.235  V,1.113  A
2.068 nsec,960.6 mA,1.969  V,1.125  A
2.070 nsec,976.6 mA,1.172  V,1.166  A
2.070 nsec,977.5 mA,1.125  V,1.161  A
2.070 nsec,980.2 mA,991.7 mV,1.154  A
2.070 nsec,980.7 mA,967.4 mV,1.154  A
2.070 nsec,982.1 mA,896.0 mV,1.150  A
2.070 nsec,982.3 mA,882.9 mV,1.149  A
2.070 nsec,983.1 mA,844.6 mV,1.143  A
2.071 nsec,984.6 mA,767.6 mV,1.019  A
2.071 nsec,984.7 mA,765.1 mV,1.006  A
2.071 nsec,984.8 mA,759.2 mV,969.1 mA
2.071 nsec,985.0 mA,752.3 mV,904.1 mA
2.071 nsec,985.0 mA,750.8 mV,878.9 mA
2.071 nsec,985.0 mA,750.6 mV,880.9 mA
2.072 nsec,985.0 mA,750.4 mV,878.9 mA
2.072 nsec,985.0 mA,749.7 mV,876.4 mA
2.073 nsec,985.0 mA,749.0 mV,872.9 mA
2.074 nsec,985.0 mA,747.8 mV,868.8 mA
2.076 nsec,985.1 mA,746.6 mV,863.6 mA
2.077 nsec,985.1 mA,744.9 mV,856.8 mA
2.080 nsec,985.1 mA,742.7 mV,846.6 mA
2.084 nsec,985.2 mA,739.6 mV,829.3 mA
2.093 nsec,985.3 mA,735.1 mV,792.2 mA
2.120 nsec,985.4 mA,728.2 mV,684.4 mA
2.153 nsec,985.5 mA,724.4 mV,594.1 mA
2.185 nsec,985.5 mA,723.1 mV,560.6 mA
2.221 nsec,985.6 mA,722.3 mV,540.3 mA
2.224 nsec,985.6 mA,722.2 mV,538.9 mA
2.232 nsec,985.6 mA,722.0 mV,535.3 mA
2.254 nsec,985.6 mA,721.6 mV,525.2 mA
2.292 nsec,985.6 mA,721.0 mV,511.4 mA
2.341 nsec,985.6 mA,720.5 mV,499.6 mA
